,u,v,length,highway,name,maxspeed
4335,640471886,5536174483,68.07517081011048,tertiary,宜山北路,
4336,640471886,994910767,92.23362585345583,tertiary,广元西路,
4337,640472370,2375929881,112.04334423341156,residential,广元西路,
4338,640472370,107669631,121.36759885696134,primary,虹桥路,
4339,640476171,12976268485,144.1068766004906,tertiary,广元路,
4340,640476171,640476172,187.61711277840627,residential,余庆路,
4341,640476172,640476183,13.973621631479245,residential,余庆路,
4342,640476172,640468210,212.89527096704526,secondary,衡山路,
4343,640476183,9775005118,290.77947440062724,secondary,衡山路,
4344,640476214,640476435,167.63602136141603,primary,华山路,
4345,640476214,640469172,124.21057468694497,tertiary,广元路,
4346,640476403,804474451,17.670998090741914,primary,华山路,
4347,640476403,804474492,118.72893565365777,secondary,淮海中路,
4348,640476435,8339246251,11.540620525549683,residential,康平路,
4349,640476435,640470131,114.68261162961052,residential,康平路,
4350,640476435,640476403,299.1458183631643,primary,华山路,
4351,640482387,5226901246,182.2297593528644,secondary,华山路,
4352,640482387,574737611,87.09295666054481,secondary,华山路,
4353,640482387,1666718699,204.66195148255906,tertiary,复兴西路,
4354,640484221,9854768349,13.085658906579825,secondary,华山路,
4355,640484221,9775024281,10.968803947765766,secondary,华山路,
4356,640484221,857586245,90.41707931985385,secondary,常熟路,
4357,640484221,9775061983,118.78713838542471,secondary,常熟路,
4358,640593690,107673739,403.9762680515489,primary,虹桥路,
4359,640627221,477633780,22.860008995941968,tertiary,凤阳路,
4360,640627221,601145296,182.99249924832057,secondary,西藏中路,
4361,642622037,475935690,157.89574801516142,residential,临潼路,
4362,642622037,8797267204,8.214593696630216,residential,临潼路,
4363,642622037,475936191,130.2769310454169,secondary,长阳路,
4364,643889226,648492022,82.27717179381683,secondary,宝山路,40
4365,643889226,643889272,11.479989369445121,tertiary,海伦西路,
4366,643889266,643889394,146.6583656437009,residential,东横浜路,
4367,643889266,266082076,276.0859734263778,tertiary,海伦西路,
4368,643889266,643889272,125.06708768007692,tertiary,海伦西路,
4369,643889272,643889266,125.06708768007692,tertiary,海伦西路,
4370,643889272,643889226,11.479989369445121,tertiary,海伦西路,
4371,643889272,621541615,190.6241760595465,secondary,宝山路,40
4372,643889389,643889394,62.980098437395355,residential,东横浜路,
4373,643889394,643889266,146.65836564370093,residential,东横浜路,
4374,643889394,643889389,62.980098437395355,residential,东横浜路,
4375,643889394,621541615,185.17109373676578,residential,横浜路,
